Quantidade;DataHoraProducaoAux;cd_Referencia;ds_Prod;qtdItem;dt_LimiteEntrega;cdEnt;Nome;Apelido;dt_Pedido;cdPedido;ds_potencia;PotenciaKVA;nrofasesTrafo;ds_classeTensaoTrafo;dt_criacao;NroRevisao;dt_Revisao;ds_TensaoTrafo;ds_TensaoTrafoSec;ds_TapsTrafo;cd_SglEstado;DiaSemana;SemanaAno;Ano;Mes;ds_TpEnrolamentoNucleo;Ds_tpConstrTrafo;Dia;cd_TpEnrolamentoNucleo;ds_TensaoTrafoDesp;QtdProduzida;TotalJC;TotalAM;TotalEMP;TotalEMPLM;TotalENR;TotalSL;cdEntEmpDesti;SeqPlano;QtdAproduzirTotal;QtdAproduzir;Data_Snapshot
5;2026-08-19;TPD-397696;TRANSFORMADOR 45kVA 36,2kV 3F 220/127V 36000V                                                                           ;5;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;45 kVA    ;45.0;TRI;36,2kV         ;2024-12-07;1;2025-11-11;36.000 / 34.500 / 33.000 / 31.500 V                                   ;220/127V                                                              ;4              ;MT;QUA;34;2026;8;EMP                                     ;Selado              ;19;3;34500V                                                                ;0;0;0;5;0;0;0;1;183.0;5;5;2026-08-25
5;2026-08-19;TPD-398911;TRANSFORMADOR 10kVA 36,2kV 1F 240/120V 21651V                                                                           ;10;2026-09-01;11450;Energisa Acre Distribuidora de Energia S.A;EAC -  Energisa AC;2026-05-21 09:58:41;68195;10 kVA    ;10.0;MON;36,2kV         ;2025-06-14;0;;21.651 / 20.785 / 19.919 / 19.053 / 18.187 V                          ;240/120V                                                              ;5              ;AC;QUA;34;2026;8;JC                                      ;Selado              ;19;2;19919V                                                                ;0;5;0;0;0;0;0;1;175.0;10;5;2026-08-25
35;2026-08-19;TPD-410181;TRANSFORMADOR 37,5kVA 15kV 1F 220V 7967V                                                                                ;45;2026-09-01;152975;Equatorial S.A.;Equatorial S.A.;2026-06-24 00:00:00;69500;37,5 kVA  ;37.5;MON;15kV           ;2025-05-21;0;;7.967 / 7.621 / 7.275 V                                               ;220V                                                                  ;3              ;MA;QUA;34;2026;8;JC                                      ;Selado              ;19;2;7967V                                                                 ;0;35;0;0;0;0;0;1;319.0;45;35;2026-08-25
17;2026-08-19;TPD-423496;TRANSFORMADOR 112,5kVA 15kV 3F 380/220V 13800V                                                                          ;30;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;112,5 kVA ;112.5;TRI;15kV           ;2025-11-06;0;;13.800 / 13.200 / 12.600 V                                            ;380/220V                                                              ;3              ;MT;QUA;34;2026;8;EMP                                     ;Selado              ;19;3;13800V                                                                ;0;0;0;17;0;0;0;1;185.0;30;17;2026-08-25
1;2026-08-19;TPD-424098;TRANSFORMADOR 30kVA 15kV 3F 220/127V 14400V                                                                             ;5;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;30 kVA    ;30.0;TRI;15kV           ;2025-11-28;0;;14.400 / 13.800 / 13.200 / 12.600 V                                   ;220/127V                                                              ;4              ;MT;QUA;34;2026;8;JC                                      ;Selado              ;19;2;13800V                                                                ;0;1;0;0;0;0;0;1;178.0;5;1;2026-08-25
2;2026-08-19;TPD-433789;TRANSFORMADOR 45kVA 24,2kV 3F 380/220V 23100V                                                                           ;10;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;45 kVA    ;45.0;TRI;24,2 kV        ;2026-05-19;0;;23100/22000/20900V                                                    ;380/220V                                                              ;3              ;MT;QUA;34;2026;8;EMP                                     ;Selado              ;19;3;23100V                                                                ;0;0;0;2;0;0;0;1;182.0;10;2;2026-08-25
1;2026-08-19;TPD-435783;TRANSFORMADOR 45kVA 15kV 3F 220/127V 14400V                                                                             ;10;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;45 kVA    ;45.0;TRI;15kV           ;2026-06-24;0;;14400/13800/13200/12600V                                              ;220/127V                                                              ;4              ;MT;QUA;34;2026;8;EMP                                     ;Selado              ;19;3;13800V                                                                ;0;0;0;1;0;0;0;1;180.0;10;1;2026-08-25
78;2026-08-19;TPD-437002;TRANSFORMADOR 5kVA 15kV 1F 240/120V 7967V                                                                               ;800;2026-09-14;153945;NORTE TECH SERVICOS EM ENERGIA LTDA;NORTE TECH;2026-06-19 16:51:39;69406;5 kVA     ;5.0;MON;15kV           ;2026-07-14;1;2026-07-30;7.967/7.621/7.274/6.928/6.582/6.235/5.888 V                           ;240/120V                                                              ;7              ;AM;QUA;34;2026;8;JC                                      ;Selado              ;19;2;7.967 V                                                               ;0;78;0;0;0;0;0;1;174.0;800;78;2026-08-25
9;2026-08-20;TPD-378159;TRANSFORMADOR 25kVA 15kV 1F 220V 7967V                                                                                  ;10;2026-10-17;11418;Equatorial Goiás Distribuidora de Energia S/A.;EQTL - GO;2026-08-14 09:18:25;71349;25 kVA    ;25.0;MON;15kV           ;2024-06-07;1;2024-06-20;7.967 / 7.621 / 7.275 V                                               ;220V                                                                  ;3              ;GO;QUI;34;2026;8;JC                                      ;Selado              ;20;2;7967V                                                                 ;0;9;0;0;0;0;0;1;190.0;10;9;2026-08-25
27;2026-08-20;TPD-378159;TRANSFORMADOR 25kVA 15kV 1F 220V 7967V                                                                                  ;100;2026-09-01;152975;Equatorial S.A.;Equatorial S.A.;2026-06-24 00:00:00;69500;25 kVA    ;25.0;MON;15kV           ;2024-06-07;1;2024-06-20;7.967 / 7.621 / 7.275 V                                               ;220V                                                                  ;3              ;MA;QUI;34;2026;8;JC                                      ;Selado              ;20;2;7967V                                                                 ;0;27;0;0;0;0;0;1;190.0;100;27;2026-08-25
