"CodProd","DescProd","CodMedEstoque","PrecoMedio"
"12461",CALÇO APOIO - 58 x 45 x 180mm - APA-293-MP-008 ITEM 02                                                                  ,Un,"4,716700"
"12485",CALÇO DE APOIO TC 50 x 85 x 271mm                                                                                       ,Un,"14,701300"
"125","TERMINAL DE LIGAÇÃO BT 1,3kV 800A T3 - 223.14-046                                                                       ",Un,"267,893406"
"12502",KIT DE FIXAÇÃO GALVANIZADO                                                                                              ,Un,"345,750000"
"12527",CALÇO DE MADEIRA - 50 x 50 x 89mm                                                                                       ,Un,"1,905000"
"12529","BIBLIOTECANDO EM ""L"" 150 x 150 x 150mm                                                                                  ",Un,
"12559","PARAFUSO SEXTAVADO AÇO POLIDO RI 5/8"" x 2.1/2""                                                                          ",Un,"0,945105"
"1256",CABO MTBFT 3 x 24 AWG 200° 600V - TEFLON                                                                                ,M    ,"28,592550"
"12571",ISOLAÇÃO TRANSPOSIÇÃO EXTERNA - AER-253-BB-009                                                                          ,Un,"0,248781"
"1259",CABO DE COBRE FLEXIVEL PRETO 1 x 1mm²  750V                                                                             ,M    ,"0,663977"
"126",CONECTOR FUNDIDO AT 15 KV 160A                                                                                          ,Un,"8,354063"
"1261","CABO COBRE FLEXIVEL PRETO 750v 1,5mm²                                                                                   ",M    ,"0,937700"
"12665","BOBINA ALUMÍNIO LIGA 1350 TEMPERA O - 1,20 x 590mm                                                                      ",Kg   ,"22,955509"
"12666","BOBINA ALUMÍNIO LIGA 1350 TEMPERA O - 1,50 x 680mm                                                                      ",Kg   ,"21,641874"
"12667","BOBINA ALUMÍNIO LIGA 1350 TEMPERA O - 1,50 x 800mm                                                                      ",Kg   ,"20,773589"
"12668","BOBINA ALUMÍNIO LIGA 1350 TEMPERA O - 1,50 x 1000mm                                                                     ",Kg   ,"26,993799"
"12669","BOBINA ALUMÍNIO LIGA 1350 TEMPERA O - 1,50 x 500mm                                                                      ",Kg   ,"21,943358"
"127","CONDUTOR AT 15 / 25,8 kV 160A (PIRULITO) - AFL-496-FE-030 ITEM 01                                                       ",Un,"5,544254"
"1271","CABO COBRE DE FLEXIVEL VERDE 750v 2,5 mm²                                                                               ",M    ,"1,295258"
"128","ARRUELA PAPELÃO BT 2000A 104 x 67 x 1,6mm                                                                               ",Un,"2,130000"
"12800","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - 111PL-103                                                                   ",Un,"0,751195"
"12801","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - 111PL-283                                                                   ",Un,"2,160800"
"12804","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - 311PL-276                                                                   ",Un,"2,160000"
"12805","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - 311PL-282                                                                   ",Un,"2,160000"
"12806","PLACA DE IDENT ALUM ANOD 0,8 x 105 x 148mm - 315GL-1936                                                                 ",Un,"3,149600"
"12819","FIO ALUMINIO RETANGULAR 4,0 x 6,5 - C/ 3 V 0,06mm - (0,36mm) - PKT                                                      ",Kg   ,"21,589357"
"12824",FIO ALUMINIO CIRCULAR ESMALTADO 180°C 22 AWG                                                                            ,Kg   ,"27,633166"
"12833",ISOLAÇÃO TRANSPOSIÇÃO INTERNA - AER-253-BB-008                                                                          ,Un,"0,220104"
"129","ARRUELA PAPELÃO BT 160 - 21 x 11 x 1,00mm - 243.10-432 ITEM 02                                                          ",Un,"0,285546"
"1300","CABO COBRE PP 2 x 0,75mm²  750V                                                                                         ",Kg   ,"0,820000"
"13024","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 09,5 AWG                                                                          ",Kg   ,
"13025","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 10,5 AWG                                                                          ",Kg   ,
"13026","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 11,5 AWG                                                                          ",Kg   ,
"13027","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 14,5 AWG                                                                          ",Kg   ,
"13028","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 16,5 AWG                                                                          ",Kg   ,
"13029","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 17,5 AWG                                                                          ",Kg   ,
"13031","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 20,5 AWG                                                                          ",Kg   ,"20,788480"
"13033","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 23,5 AWG                                                                          ",Kg   ,
"13035","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 19,5 AWG                                                                          ",Kg   ,"9,300000"
"13036","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 22,5 AWG                                                                          ",Kg   ,"17,749126"
"13037","FIO COBRE CIRCULAR ESMALTADO 180°C 04,5 AWG                                                                             ",Kg   ,
"13038","FIO COBRE CIRCULAR ESMALTADO 180°C 05,5 AWG                                                                             ",Kg   ,
"13039","FIO COBRE CIRCULAR ESMALTADO 180°C 06,5 AWG                                                                             ",Kg   ,
"13040","FIO COBRE CIRCULAR ESMALTADO 180°C 07,5 AWG                                                                             ",Kg   ,
"13041","FIO COBRE CIRCULAR ESMALTADO 180°C 08,5 AWG                                                                             ",Kg   ,
"13042","FIO COBRE CIRCULAR ESMALTADO 180°C 09,5 AWG                                                                             ",Kg   ,"53,455490"
"13043","FIO COBRE CIRCULAR ESMALTADO 180°C 10,5 AWG                                                                             ",Kg   ,"10,570000"
"13044","FIO COBRE CIRCULAR ESMALTADO 180°C 11,5 AWG                                                                             ",Kg   ,
"13045","FIO COBRE CIRCULAR ESMALTADO 180°C 13,5 AWG                                                                             ",Kg   ,
"13046","FIO COBRE CIRCULAR ESMALTADO 180°C 14,5 AWG                                                                             ",Kg   ,
"13047","FIO COBRE CIRCULAR ESMALTADO 180°C 15,5 AWG                                                                             ",Kg   ,"17,436751"
"13048","FIO COBRE CIRCULAR ESMALTADO 180°C 16,5 AWG                                                                             ",Kg   ,
"13049","FIO COBRE CIRCULAR ESMALTADO 180°C 17,5 AWG                                                                             ",Kg   ,
"13050","FIO COBRE CIRCULAR ESMALTADO 180°C 18,5 AWG                                                                             ",Kg   ,"19,279525"
"13051","FIO COBRE CIRCULAR ESMALTADO 180°C 23,5 AWG                                                                             ",Kg   ,
"13052","FIO COBRE CIRCULAR ESMALTADO 180°C 24,5 AWG                                                                             ",Kg   ,
"13053","FIO COBRE CIRCULAR ESMALTADO 180°C 25,5 AWG                                                                             ",Kg   ,
"13054","FIO COBRE CIRCULAR ESMALTADO 180°C 26,5 AWG                                                                             ",Kg   ,
"13055","FIO COBRE CIRCULAR ESMALTADO 180°C 27,5 AWG                                                                             ",Kg   ,
"13056","FIO COBRE CIRCULAR ESMALTADO 180° C 28,5 AWG                                                                            ",Kg   ,
"13057","FIO COBRE CIRCULAR ESMALTADO 180°C 29,5 AWG                                                                             ",Kg   ,
"13076",FIO ALUMINIO CIRCULAR ESMALTADO 180°C 21 AWG                                                                            ,Kg   ,"27,383341"
"13077",FIO ALUMINIO CIRCULAR ESMALTADO 180°C 24 AWG                                                                            ,Kg   ,"13,965755"
"13078","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 24,5 AWG                                                                          ",Kg   ,
"13098","VERGALHÃO ALUMINÍO 9,5 mm                                                                                               ",Kg   ,"7,425801"
"131","ARRUELA PAPELÃO BT 400 - 30 x 17 x 1,6mm - 243.11-433 ITEM 02                                                           ",Un,"0,278813"
"13100",CALÇO APOIO - 10 x 45 x 180mm - APA-293-MP-008 ITEM 03                                                                  ,Un,"1,906700"
"13198","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - 131PL-153                                                                   ",Un,"0,838684"
"132","ARRUELA PAPELÃO BT 160 - 54 x 33 x 1,00mm - 243.10-432 ITEM 03                                                          ",Un,"0,176699"
"13207","ANEL VEDAÇÃO BORRACHA NITRILÍCA 10,0 x ø423 x Ø443mm                                                                    ",Un,"55,801690"
"13268","CHAPA AÇO INOX 4,00 x 3000 x 1270mm                                                                                     ",Kg   ,"21,898727"
"13272","FIO ALUMINIO RETANGULAR 4,4 x 9,0 - C/ 3 V 0,06mm - (0,36mm) - PKT                                                      ",Kg   ,"8,483219"
"13273","FIO ALUMINIO RETANGULAR 3,5 x 6,5 - C/ 3 V 0,06mm - (0,36mm) - PKT                                                      ",Kg   ,"22,050000"
"13276","PLACA DE IDENT ALUM ANOD 0,8 x 105 x 148mm - 135GL-264                                                                  ",Un,"1,508873"
"13277","PLACA DE IDENT ALUM ANOD 0,8 x 105 x 148mm - 113GL-262                                                                  ",Un,"1,508804"
"133","ARRUELA PAPELÃO BT 400 - 77 x 48 x 1,6mm - 243.11-433 ITEM 03                                                           ",Un,"0,673550"
"13304",PARAFUSO SEXTAVADO AÇO POLIDO RI 1/2'' x 1.1/2''                                                                        ,Un,"0,184735"
"13313","PLACA DE IDENT ALUM ANOD 0,8 x 105 x 148mm - R315GL-265                                                                 ",Un,"2,224697"
"13316","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 18,5 AWG                                                                          ",Kg   ,"16,525419"
"13317","FIO ALUMINIO RETANGULAR 5,5 x 9,0 - C/ 3 V 0,06mm - (0,36mm) - PKT                                                      ",Kg   ,"18,465973"
"13318","FIO ALUMINIO RETANGULAR 5,5 x 7,0 - C/ 3 V 0,06mm - (0,36mm) - PKT                                                      ",Kg   ,"24,592137"
"13319","FIO ALUMINIO RETANGULAR 5,5 x 7,0 NÚ                                                                                    ",Kg   ,"23,297340"
"13327","ANEL VEDAÇÃO BORRACHA NITRILÍCA 9,00 x ø411 x Ø429mm                                                                    ",Un,"36,332466"
"13359","PARAFUSO SEXT. AÇO GALV. À FOGO RI 3/8"" x 3""                                                                            ",Un,"0,362963"
"13393",COMUT. MONO. EXT. LIN. 5TAPS 25kV 30A L120 - APA-271-AC-005 ITEM 02                                                     ,Un,"40,891688"
"134","ARRUELA PAPELÃO BT 2000A - 90 x 40 x 1,6mm                                                                              ",Un,"1,490000"
"13432",PERFIL BORRACHA NITRILICA 15mm                                                                                          ,M    ,"5,084647"
"13493",GUARNIÇÃO BORRACHA NITRI. BT ESPECIAL - 800A - 82 x 64 x 5mm                                                            ,Un,"1,820000"
"13513","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - 105PL-247                                                                   ",Un,
"13567","RADIADOR ALETADO 0900 x 520 x 88,90 x 080 x 06mm - 0900.88.080.06-SF                                                    ",Un,"141,915976"
"13704",CALÇO APOIO - 44 x 195 x 180mm - APA-293-MP-008 ITEM 01                                                                 ,Un,"14,700000"
"13732","FIO ALUMINIO RETANGULAR 5,5 x 6,5 - C/ 3 V 0,06mm - (0,36mm) - PKT                                                      ",Kg   ,"22,062437"
"13733","FIO ALUMINIO RETANGULAR 6,5 x 8,5 - C/ 3 V 0,06mm - (0,36mm) - PKT                                                      ",Kg   ,"22,243000"
"13735","FIO ALUMINIO RETANGULAR 5,5 x 6,5 NÚ                                                                                    ",Kg   ,"21,002776"
"13740",BARRA CHATA AÇO ASTM A36 5/16'' x 2'' x 6000mm                                                                          ,Kg   ,
"13746",BARRA REDONDA AÇO SAE 1020 - 2.1/2'' x 6000mm                                                                           ,Kg   ,"6,508211"
"13780","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - 105PL-245                                                                   ",Un,"0,751131"
"13797","CHAPA AÇO CARBONO ASTM-A36 (FQ1.1/2) 38,1 x 1500 x 3000mm                                                               ",Kg   ,"3,294350"
"13835","CHAPA AÇO CARBONO ASTM-A36 (FQ1"") 25,4 x 2440 x 6000mm                                                                  ",Kg   ,"5,346827"
"13847","FIO DE COBRE RETANGULAR 2,5 x 4,0 C/ 3 V 0,06mm - PKT - (0,36mm)                                                        ",Kg   ,"16,909962"
"13888","ABRAÇADEIRA TIPO U  1/2""                                                                                                ",Un,"0,450000"
"13898",BARRA REDONDA AÇO 1.1/4'' x 5510mm                                                                                      ,Kg   ,"6,847001"
"13921",ESTECA AUXILIAR ENROLAMENTO - AER-261-BB-017                                                                            ,Un,"1,913271"
"13979","RADIADOR ALETADO 1000 x 520 x 88,90 x 080 x 06mm - 1000.88.080.06-SF                                                    ",Un,"155,760804"
